Class,Email
Account,<COMPANY> <NUMBER> Can I please have learner login details for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can I please have learner login details for the below customer <NAME> <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can I please have learner logins for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can I please have login details for the learner site for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can I please have the learner login details for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can I please have the learner logins for <NAME> at <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can you please send me learner login details for <NAME> at <COMPANY> I think hes had these before and was meant to go through training with <NAME> Can you send me new logins or the logins he had previously <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can you please send me learner logins for <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can you please send me login details for <COMPANY> <NUMBER> They said they have spoken to you before <NAME> but lost their login details <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can you please send me OSS live quoting only logins for <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Can you please send me the learner login details for <NAME> from <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Good afternoon Could you please send the OSS Login details for the above new account <NAME>
Account,<COMPANY> <NUMBER> Hope you had a lovely weekend Can you please email me the learner logins for <NAME> <NAME> from <COMPANY> <NUMBER> I am due to go through the OSS remote training with him this afternoon <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> <NUMBER> Please can you reset the login details for <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> <NUMBER> Please find attached the sign off sheet for OSS training Please can I have the live login details for the customer as well <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> <NUMBER> Please provide Quote Only OSS live for the below customer <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME> when you complete the training with the customer in OSS we can provide him the Ordering Live Credentials I have copied <NAME> is you need help with <NAME>
Account,<COMPANY> <NUMBER> The above company had received OSS training Could you please send the customer live link and login details please <NAME>
Account,<COMPANY> <PRODUCT> <NUMBER> Can you please send me login details for quoting only live on OSS This is for <COMPANY> <PRODUCT> <NUMBER> Contact is <NAME> who looks after ordering <NAME> <NAME> PreSales Trade <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> Can I please have login details for <COMPANY> on the learner OSS site please <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> Could you please send me the log in details for <NAME> at <COMPANY> Cheers <NAME> 
Account,<COMPANY> customer id <NUMBER> <NAME> <NAME> from <COMPANY> uses the email address <EMAIL> <EMAIL> to access OSS She is having difficulty logging in to the account this She has tried clicking the Forgotten Password button but she hasnt received the link to reset the password in <NAME> email inbox Could you please send her a new password to the email address <EMAIL> <EMAIL> <NAME> suspects that <NAME> from <COMPANY> who uses a different login code <NAME> have saved his details on their computer which has caused the confusion <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Can I please have the learn login code to OSS for <NAME> at <COMPANY> The customer id is <NUMBER> I am due to visit him for the third time tomorrow to run through OSS I suspect that he might have forgotten his login code since my last visit was in <DATE> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have a learn login code with the <PRODUCT> tab for the following customer <EMAIL> <EMAIL> Customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have a learning login code and link to OSS for the <PRODUCT> tab The customer is <NAME> from <COMPANY> id <NUMBER> I am training <NAME> this afternoon <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have a login code for OSS learn for <EMAIL> <EMAIL> <NAME> is a new employee at the <COMPANY> branch <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have login codes to OSS learn for the email addresses listed below These are the email addresses of the <COMPANY> Sales Team who received training yesterday <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have OSS learn login information for <COMPANY> They are Onboarding customers and the customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have the learn login code for <COMPANY> customer id <NUMBER> Could you please enable the <PRODUCT> tab on the learn programme too <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could I please have the learn login details for <COMPANY> customer id <NUMBER> Could you please also set up the <PRODUCT> tab on the learn platform for this customer <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> Could you please set up the following email address with a live ordering login code on OSS The customer id is <NUMBER> <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> <NAME> I hope that you had a good weekend Can you please send me the learn link and login code for the <PRODUCT> tab for <NAME> from <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> All <NAME> at <COMPANY> is live for quoting on OSS but has forgotten his login details Could you please send it to me <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> All <NAME> from <COMPANY> has now sent me his signoff form to go live on OSS Can you please set him up as live and send me his live login code The customer id is <NUMBER> The email address is <EMAIL> <EMAIL> I will save the signoff form <NAME> 
Account,<COMPANY> customer id <NUMBER> All Can I please have a live login code to OSS for <COMPANY> customer id <NUMBER> They are currently live for quoting only but can we please change that so that they can place orders too <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can I please have an urgent login code to OSS live for <COMPANY> customer id <NUMBER> Can this be for quoting only please They have been waiting for a day for an urgent quote back from the office and cant wait any longer for it I am due to visit them on <DATE> to train them up so that they can go live for ordering <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can I please have the learn login code and link to the <PRODUCT> tab for <NAME> at <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> customer id <NUMBER> All Can I please have the live login codes to OSS for <NAME> and <NAME> from <COMPANY> customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can I please have the login code to OSS learn for <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can I please have the login code to OSS learn for <COMPANY> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can you please provide an additional live login code to OSS for the email address below The customer id is <NUMBER> <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<COMPANY> customer id <NUMBER> All Can you please set up <COMPANY> as live for quoting only on OSS please I will save the sign off form to the Gdrive <NAME>
Account,<COMPANY> customer id <NUMBER> All Can you please set up <COMPANY> with the live for ordering <PRODUCT> tab The customer id is <NUMBER> <NAME>
Account,<COMPANY> ID <NUMBER> Can you please send a link to live OSS to <EMAIL> <EMAIL> as he had issues with his pc and other colleague who doesnt work in this company anymore was using OSS previously If OSS is linked to different email address please change it to this one Can you please copy me in when sending the details over <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> ID <NUMBER> Can you please send a link to the training version to <EMAIL> <EMAIL> This account will be for quoting purposes only training over skype <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> ID <NUMBER> Can you please send log in details to <COMPANY> for OSS as they dont have them to hand <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> ID <NUMBER> Can you please set up <COMPANY> on live quoting only I trained them yesterday and are keen to get going straight away Onboarding are aware of their request and <NAME> will be sending through the set up form shortly
Account,<COMPANY> ID <NUMBER> I have visited <NAME> today and he would like to get set up on OSS I have explained that first you would send him a link for a training version and <NAME> would then go and train him before he can go live He might be ok with just a remote training thats why I copied onboarding Can you please contact <NAME> with the necessary
Account,<COMPANY> Im in Bristol today and will be wanting to train <NAME> on <PRODUCT> Could you please forward me an access code and provide the link <NAME>
Account,<COMPANY> Learn log in ID <NUMBER> Morning Could you please send me the <COMPANY> OSS learn log in please Cheers <NAME> <NAME> <NUMBER> <EMAIL> 
Account,<COMPANY> learn login code All I will be going through <PRODUCT> training with <NAME> from <COMPANY> this afternoon Can you please send me a learn login code for the account Its customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> new member passwords Could you provide password for OSS online service for the below person Company <COMPANY> ID <NUMBER> they are Live in OSS Email <EMAIL> <EMAIL> They have trained this new member <NAME> <NAME> <NAME> <EMAIL> 
Account,<COMPANY> Onboarding Customer ID <NUMBER> Morning <NAME> <NAME> Could you please supply OSS login password details for the two people below <NAME> <EMAIL> <NAME> <EMAIL> <EMAIL> <NAME> <NAME> <EMAIL> <EMAIL> 
Account,<COMPANY> OSS Could you please send the live link password please and make this account live <NAME>
Account,<COMPANY> OSS Please can you send the log in details for <COMPANY> account <NUMBER> as they do not have access to this one The user is <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>
Account,<COMPANY> Oss Training <NUMBER> oss Could you please provide password and login for OSS Training please for the above New account on <DATE> <NAME>
Account,<COMPANY> Portal Login Details Could you set up credential for the following company Quote only please Company <COMPANY>
Account,<NAME> <COMPANY> Ive had a call this morning from <NAME> at <COMPANY> He advised he would like the link and access to the OSS system to begin quoting Would this be possible His email address is <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<NAME> <PRODUCT> <NUMBER> and Happy Friday Can you please send me the learner site logins for the below customer <NAME> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<NAME> live login code for OSS All Can you please send a live login code to OSS to <NAME> for the Origin account <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,<NUMBER> <COMPANY> <NAME> from <COMPANY> has created a quote on OSS tried to order it but when she gets to the sign in screen it asks her to input her password which she does but it keeps on saying the password is incorrect She is using the same password she uses to log in so is certain that it is the correct password please can you look into it <NAME> <NAME>
Account,<NUMBER> <COMPANY> <NUMBER> Can I please have a learner logins for <NUMBER> <COMPANY> <NUMBER> thanks <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <ADDRESS>
Account,<NUMBER> <COMPANY> All Could I please have the login code to OSS learn for <COMPANY> The customer id is <NUMBER> <NAME>
Account,<NUMBER> <COMPANY> All I have had a call from <NAME> at <COMPANY> he said he has asked to have the correct login details for his account as he moved from <COMPANY> to <OOMPANY> and he still has the login details for <COMPANY> Could someone please give him a call and let him know what the correct details are for <COMPANY> are <NUMBER> <NAME> I have corrected the name on the account from my end he just needs to be able to order and quote from the correct account I have also tried to get hold of him to update the email but havent reached him yet <NAME> <NAME> <EMAIL> 
Account,<NUMBER> <COMPANY> OSS Accounts Are you able to create a new account on OSS for the above agent Email address is <EMAIL> <EMAIL> Can you please confirm what the password will be so I can let him know He has been using the <EMAIL> <EMAIL> account but this person is no longer employed with <COMPANY> Is it possible to delete this account Will this affect any of the project created under this name <NAME>
Account,<NUMBER> <COMPANY> OSS Could you please supply the login details for QUOTE ONLY for the following customer ID <NUMBER> <COMPANY>
Account,<NUMBER> <COMPANY> OSS Live Link This company has reboot their computer and lost all the information Could we resend the credential for Live OSS
Account,<NUMBER> <COMPANY> OSS Quote only Credentials Could you provide credential for quote only for the following company <COMPANY> <PRODUCT> ID <NUMBER> Users <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL>
Account,<NUMBER> <COMPANY> Please provide Live OSS credential for this company Company name was amended due business issues explanatory email below but they are fully trained <EMAIL> <COMPANY> <NUMBER> <NAME>   <NAME> <NAME>   <EMAIL>
Account,<NUMBER> <NUMBER> <NAME> from <COMPANY> <NUMBER> phoned to pay for some orders they have placed online however they have bought <COMPANY> <NUMBER> and this account has Do Not Use next to it They will obviously need new OSS details to match the new company but they also have a fair few orders all awaiting deposits Is there a way of moving them all across to the new account <NAME> <NAME> <EMAIL> 
Account,<NUMBER> Glazing Quote Only Links Could I request credential for OSS online quoting system Company ID <NUMBER> Email <EMAIL> <EMAIL>
Account,<PRODUCT> id <NUMBER> can you please send me log in details for <PRODUCT> id <NUMBER> <NAME> <NAME>
Account,agent <NUMBER> <COMPANY> can you please send me log in details for <COMPANY> <NUMBER> I have another meeting with <NAME> and am looking to get him live on OSS by the time I finish the meeting so he needs to be set up on the live link for when I train him <NAME> <NAME>
Account,agent <NUMBER> can you please send me the log in details for <COMPANY> id <NUMBER> <NAME> <NAME>
Account,Credentials <COMPANY> <NUMBER> Could you provide credential for the below customer please Quote only <EMAIL> <EMAIL> <COMPANY> <NUMBER> <NAME>
Account,Credentials <COMPANY> Please provide Quote only credentials for the below company Email <EMAIL> <EMAIL> Company name <COMPANY> <NUMBER>
Account,Credentials <NAME> <COMPANY> Could you provide quote only credentials for the below company please Email <EMAIL> <EMAIL> Company name <NAME> <COMPANY> <NUMBER> <NAME>
Account,Credentials Quote Only Try OSS <NUMBER> Could you provide Quote only credential for the below customer please <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME>
Account,Credentials try OSS Could you provide Quote only credential for the below company please <COMPANY> <NUMBER> <EMAIL> <EMAIL> thanks <NAME>
Account,Credentials Try OSS Origin Could you provide Quote Live Credential for the below customer please Name <NAME> <EMAIL> <EMAIL> <NUMBER>
Account,customer <NUMBER> <NAME> can you please send me log in details for above agent and live link as oss training him on <DATE> he needs to be live but ordering disabled <NAME> <NAME>
Account,Customer ID <NUMBER> <COMPANY> <COMPANY> have lost their link to their OSS as their computer crashed Could you please send me a link to pass on to the customer Regards <NAME> <NAME> <EMAIL> 
Account,Customer ID <NUMBER> <COMPANY> have lost their link to their OSS please could you send me a link to pass on to the customer Regards <NAME> <NAME> <EMAIL> 
Account,Customer ID <NUMBER> <COMPANY> login issue I have just been on the phone to <NAME> <NAME> he has been having a lot of problems logging into OSS previously and he believed it was all resolved but he has just tried logging in now and its not letting him Im not sure if its an error on his end because he is entering login details wrong or on ours Can someone please contact him or check if theres an issue and respond to this email for me to contact him please
Account,customer ID <NUMBER> <COMPANY> Morning all Please can you send me the learn log in details for the above customer Cheers <NAME> <NAME> <NUMBER> <EMAIL> 
Account,Customer ID <NUMBER> <NAME> from <COMPANY> log in problems Please see below email sent from <NAME> from <COMPANY> Could you have a look into it please He was given the below credential several days ago Email <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <EMAIL> 
Account,Customer ID <NUMBER> HI Could you please send me the up to date learn link and then also please send me the learn log in details for customer <NUMBER> I need this before <DATE> today please <NAME> <NAME> <NUMBER> <EMAIL>
Account,customers learn login code Is there any chance I can have the learning log in codes for <COMPANY> <NUMBER> and <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> 
Account,DIRECT CUSTOMER <NAME> <NAME> <NUMBER> Could you please send me the Login details for the customer above this is for QUOTE ONLY <EMAIL>
Account,FW <COMPANY> <NAME> Could you please set up <COMPANY> as live on OSS for <PRODUCT> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <COMPANY> <NUMBER> All Can you please provide a login code to the OSS live programme for <COMPANY> customer id <NUMBER> <NAME> from <COMPANY> has already been trained on OSS He was formerly the owner of <COMPANY> <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,FW <COMPANY> <NUMBER> This customer will be trained tomorrow and they will become Live Please send Live credential to <NAME> Customer <EMAIL> <EMAIL> ID <NUMBER> <COMPANY>
Account,FW <COMPANY> account issue customer id <NUMBER> All Could you please see the email below from <NAME> and advise <NAME> from <COMPANY> would like to use his OSS account to place an order this <NAME>
Account,FW <COMPANY> Additional Log ins All Can you please provide OSS learn and live login codes for the email addresses below The customer id is <NUMBER> <EMAIL> <EMAIL> The rest of their team are already live on OSS <NAME>
Account,FW <COMPANY> customer id <NUMBER> <NAME> <COMPANY> would like an additional live for ordering OSS login code for <EMAIL> <EMAIL> The customer id is <NUMBER> Could you please set this up for <NAME> <NAME>
Account,FW <COMPANY> customer id <NUMBER> <NAME> Can you please set up <COMPANY> as live on OSS for <PRODUCT> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <COMPANY> customer id <NUMBER> <NAME> Can you please set up <COMPANY> as live on OSS for <PRODUCT> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,FW <COMPANY> customer id <NUMBER> <NAME> Can you please set up the email address below with a Live login code to OSS for quoting only <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME>
Account,FW <COMPANY> customer id <NUMBER> All Can I please have a live login code for <COMPANY> customer id <NUMBER> I will save their signoff form to the Gdrive <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <COMPANY> customer id <NUMBER> new login code All Can you please set up an OSS learning login code for a new employee at <COMPANY> The rest of the team at <COMPANY> are to remain live The email address for the new learn login code is <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <COMPANY> logo customer id <NUMBER> All Could you please add the <PRODUCT> tab to the learn platform that <NAME> and <NAME> from <COMPANY> have been practicing on today Could you also please remove any access to the <COMPANY> live account that <NAME> <NAME> and her daughter <NAME> <NAME> have They no longer work for the company Could you also please add the attached logo to the <COMPANY> OSS account The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <COMPANY> New User for OSS <NUMBER> All Can you please set up the email address below as live for ordering on OSS This is for account number <NUMBER> <EMAIL> <EMAIL> <NAME>
Account,FW <COMPANY> OSS link <NUMBER> All Could you please set up the email address below with a live login code to quote only on OSS The customer id for <COMPANY> is <NUMBER> <EMAIL> <EMAIL> <NAME>
Account,FW <COMPANY> OSS link Please can you send <NAME> at <COMPANY> the online portal for OSS as he has lost this and also needs a new password <EMAIL> <EMAIL> <EMAIL>
Account,FW <COMPANY> OSS Sign Off All Can you please set up <NAME> from <COMPANY> as live on OSS His customer id is <NUMBER> I will save his sign off form to the Gdrive <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,FW <COMPANY> Please can you provide this customer with OSS login details as his colleague is out of the office in advance <NAME> <NAME>
Account,FW <COMPANY> Please could you set a login up for <NAME> Cheers <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,FW <COMPANY> Pricing Can you please confirm the OSS login details for <COMPANY> <NUMBER> <NAME> has tried logging in using the below login details but has confirmed that these are not working as per the below email trail Username <EMAIL> <EMAIL> <NAME>
Account,FW <COMPANY> QUOTE LOGIN Could you please set up <NAME> from <COMPANY> a log in for OSS <NAME> 
Account,FW <COMPANY> Request to remove user from OSS <NAME> Can you please see the email below and delete <NAME> <NAME> user access to OSS The customer id is <NUMBER> <NAME>
Account,FW <COMPANY> Users OSS All Can you please remove <NAME> access to OSS as per <COMPANY> request below The customer id is <NUMBER> <NAME> 
Account,FW <COMPANY> Users OSS Please can you remove this user from customer id <NUMBER> <NAME> <NAME> <EMAIL> 
Account,FW <NAME> <NAME> LIVE OSS All Can you please set up <NAME> from <COMPANY> as live on OSS Can you please set him up as live on the <PRODUCT> tab too His email address is <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME>
Account,FW <NAME> <NAME> OSS signed forms <NAME> Can you please set up <NAME> <NAME> customer id <NUMBER> as live on OSS Please <NAME>
Account,FW <NAME> <NAME> OSS signed forms All Im just checking through recent emails and I havent ticked this one off If I havent asked already then can you please set up <COMPANY> as live on OSS I have saved the signoff form to the Gdrive and updated Easiadmin The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW <NAME> <NUMBER> <NAME> Could I please have OSS learn login codes for <NAME> as listed below Their id is <NUMBER> <EMAIL> Quote and order <EMAIL> Quote only <NAME> <EMAIL> Quote only <EMAIL> Quote only <EMAIL> Quote only <EMAIL> Order only <EMAIL> Order only Im not sure whether you can arrange order only permissions on OSS but if not then can you please allow <NAME> <NAME> and <NAME> <NAME> to have Quote and Order permission <NAME>
Account,FW <NAME> Sign off customer id <NUMBER> <NAME> Could you please provide <NAME> <NAME> with live login credentials to quote and order on OSS including <PRODUCT> The customer id is <NUMBER> The email address <EMAIL> <EMAIL> <NAME>
Account,FW <NUMBER> <COMPANY> OSS Live Link Sorry I missed to add email <EMAIL> <EMAIL> thanks
Account,FW <PRODUCT> <PRODUCT> on system Are you able to confirm what <NAME> <NAME> password is for oss <COMPANY> <NUMBER>
Account,FW <PRODUCT> learn tab for OSS Sign off forms Could you please set up <COMPANY> as live with their <PRODUCT> tab Their customer id is <NUMBER> <NAME>
Account,FW <PRODUCT> portal from Origin Sign Off forms <NAME> Has this been done <NAME>
Account,FW <PRODUCT> portal from Origin Sign Off forms All Can you please set up <COMPANY> as live for quoting on OSS please The customer id is <NUMBER> I will save their signoff form to the Gdrive <NAME>
Account,FW Access to Pricing Module Urgent <NAME>
Account,FW Can you please set them up as live on OSS too I will save their signoff form to the Gdrive The customer id is <NUMBER> <NAME> 
Account,FW FW <COMPANY> customer id <NUMBER> <NAME> Could you please provide a live for quoting only login code for <NAME> from <COMPANY> Could he please have this ASAP because he has a project to upload The email address is <EMAIL> <EMAIL> <NAME> has mentioned that he hasnt been able to log in with the access code that <NAME> sent him on <DATE> Please see the credentials below that didnt work for him Username <EMAIL> <EMAIL>
Account,FW Fw <COMPANY> OSS LIVE All Can you please set up <COMPANY> as live for quoting only on OSS The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW Fw <COMPANY> signoff forms customer id <NUMBER> All Can you please make sure that <COMPANY> customer id <NUMBER> are live for quoting only on OSS Can I please have live for quoting only login codes for the email addresses below <EMAIL> <EMAIL> <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Account,FW Going Live All Can you please send me a live login code to OSS for <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>
Account,FW live log in credentials <NAME> This is fine please provide the links to <NAME> as this company only has changed their name and they know all about Origin They will trade with both companies for a while till the new one is up an running completely for thinking on us <EMAIL>
Account,FW log in details Can we have the log in details for the online ordering please
Account,FW log in details can you please pull ordering disabled off <COMPANY> id <NUMBER> as they are wanting to order Cheers <NAME> <NAME> 
Account,FW Log in to oss All Can you please provide a live login code to OSS for the email address below <EMAIL> The customer id is <NUMBER> <NAME>   <NAME> <NAME>     <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>            
Account,FW log ins and ordering permission for <COMPANY> customer id <NUMBER> <NAME> Could you please set up the email addresses below with a live login code for quoting and ordering on account number <NUMBER> <NAME>
