Class,Email
Reminder,['FW <PRODUCT> Slope Addons Issue Please can someone get back to me on this one The customer is chasing me <NAME>']
Gables,['FW Origin Live <PRODUCT> Tab <COMPANY> customer id <NUMBER> <NAME> Could you please set up <COMPANY> as live on OSS with the <PRODUCT> tab I will save the signoff form to the Gdrive <NAME>']
Account,['<COMPANY> customer id <NUMBER> All Can I please have a live login code to OSS for <COMPANY> customer id <NUMBER> They are currently live for quoting only but can we please change that so that they can place orders too <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Account,['FW OSS Credentials for QUOTE ONLY New Customers Sorry I just realised I sent the below email to <NAME> direct email address instead of OSS support I have also added another one to the list <NUMBER> <COMPANY> <EMAIL>']
Account,['live credentials Can you please set up <COMPANY> <NUMBER> as able to order as they have had the OSS training from myself thanks']
Error,['<NUMBER> Production screen The below ticket has been raised by <NAME> regarding the production screens Good afternoon My production screen keeps Turning the <COLOUR> jobs <COLOUR> but they should be <COLOUR> Please could you look into it <NAME> <NAME>']
Account,['FW Urgent OSS password for <NAME> please All Can you please provide a password to OSS for <NAME> as per her email request below <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Gables,['FW OSS Sign Off Form for <PRODUCT> <NUMBER> <NAME> Could you please set up <COMPANY> customer id <NUMBER> as live on the <PRODUCT> tab I will save their signoff form to the Gdrive <NAME>']
Account,['FW OSS system All <NAME> from <COMPANY> has asked for us to create him an account for him to access and the link please']
Account,['log in details can you please send me log in details for <COMPANY> ID <NUMBER> as he has had new system and can find his details <NAME> <NAME>']
Account,['<COMPANY> customer id <NUMBER> All <NAME> at <COMPANY> is live for quoting on OSS but has forgotten his login details Could you please send it to me <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Account,['Oss log ins Can you please send me the link to train <COMPANY> <NUMBER> Please can you ensure it has <PRODUCT> on it as well and the login details and passwords <NAME> <NAME> <NUMBER> <EMAIL>']
Account,['OSS Credentials QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Onboarding customer live on OSS but as QUOTE ONLY Customer <NUMBER> <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>']
Information,['<COMPANY> ID <NUMBER> Could you check this account for me They are <ADDRESS> account in EUR and win no VAT The orders and quotes show Vat is something that need to be changed <NAME>']
Account,['FW <NAME> <NUMBER> <NAME> Could I please have OSS learn login codes for <NAME> as listed below Their id is <NUMBER> <EMAIL> Quote and order <EMAIL> Quote only <NAME> <EMAIL> Quote only <EMAIL> Quote only <EMAIL> Quote only <EMAIL> Order only <EMAIL> Order only Im not sure whether you can arrange order only permissions on OSS but if not then can you please allow <NAME> <NAME> and <NAME> <NAME> to have Quote and Order permission <NAME>']
Forward,['FW please find sign off sheet for <COMPANY> id <NUMBER> Cheers <NAME> <NAME> ']
Account,['OSS Quote only Credentials ID <NUMBER> <NAME> will visit this customer tomorrow by <NUMBER> am He is going to train them in OSS could you provide credential for Quote Only please Company ID <NUMBER> <COMPANY> User <EMAIL> <EMAIL>']
Availability,['<STYLE>lead time The <STYLE> should be on a <NUMBER> week lead time oss is letting me do it as normal <PRODUCT> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Project,['Unable to Open OSS Project <NUMBER> I have cancelled an order OSS Project <NUMBER> ref <NAME> and I am trying to access the project to amend the <PRODUCT> and reorder however whenever I click on the project I just get the following error Please can you look into this as soon as possible']
Error,['Sent from Snipping Tool This is the job I have lost the <PRODUCT> and a <PRODUCT> on']
Account,['<COMPANY> <NUMBER> Please provide Quote Only OSS live for the below customer <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME> when you complete the training with the customer in OSS we can provide him the Ordering Live Credentials I have copied <NAME> is you need help with <NAME>']
Reminder,['FW Any updates in regards to this <NAME> <NAME>']
Action,['FW Signed UK order for US <PRODUCT> order <NUMBER> Glass size issue Mullions Transoms in all fixed <PRODUCT> for the US have the legs removed as part of the manufacturing process which is why we are deliberately adding an extra <LENGTH> to glass sizes for US fixed <PRODUCT> Im pretty sure Logikal isnt reflecting this so we should be using the OSS glass dimensions <NAME>']
Gables,['FW Origin <PRODUCT> Training on OSS <NUMBER> <DATE> <EMAIL> <DATE> <NAME> Can you please set up <COMPANY> customer id <NUMBER> with a live <PRODUCT> tab I have saved their signoff form <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Information,['<PRODUCT> jobs Is there any way of load a OSS <PRODUCT> onto Draftsight without having to go through logikal as I believe the Add on sizes are incorrect on <NUMBER> <NUMBER> and <NUMBER>']
Weight,['FW <PRODUCT> weights Good Morning Please could you also provide us with weight of the <PRODUCT>?']
Account,['customers learn login code Is there any chance I can have the learning log in codes for <COMPANY> <NUMBER> and <COMPANY> <NUMBER> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> ']
Account,['OSS Credentials QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Onboarding customer live on OSS but as QUOTE ONLY <NUMBER> <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>']
Forward,['FW <STYLE> Crucifix rules <NAME> Not sure if you could see the attachment for below Please see it now I will pop over in a bit to run through it with you if thats ok <NAME>']
Account,['FW Sign off form for OSS <PRODUCT> <NUMBER> All Can you please send me the live login codes to OSS for <PRODUCT> customer id <NUMBER> I will save the signoff form to the Gdrive <NAME> ']
Account,['Origin Credentials Could you provide credential for the below company please <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME>']
Account,['Sign Off sheet for <COMPANY> <NUMBER> Please find a copy of <NAME> Sign Off sheet I assume he will just have the same credentials as he does for the training website <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> ']
Error,['my outlook Since opening my outlook as an administrator I cannot open saved email in the g drive now <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Error,['FW Problem with OSS Please can you look into project <NUMBER> on OSS When you go individually into each <PRODUCT> to edit it it has an error regarding the egress hinges however when you are viewing the project as a whole there are no errors showing The customer has said that the error has happened before so Im not sure if you are already aware of how to fix the issue I look forward to hearing your thoughts on this <NAME> <mailto> ']
Account,['<COMPANY> <NUMBER> <NAME> Can you please set up <COMPANY> with a live for ordering <PRODUCT> tab The account number is <NUMBER> I had previously asked for them to have the <PRODUCT> tab set up on account number <NUMBER> but this is an old defunct account number for them <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Reminder,['FW <COLOUR> <COLOUR> I really need this put on EA please the customer is chasing for his quote could you let me know if you can do this for me please <NAME>']
Template,['FW <COMPANY> <NUMBER> All I took a call from <NAME> on <DATE> who says that his default settings still arent correct Can you please let me know if the changes below were made to his default settings I can then ask <NAME> to check his live account to see whether he needs any further amendments made <NAME> ']
Account,['OSS Login code for <COMPANY> <NUMBER> <NAME> Could I please have the login code to OSS for the following customer <COMPANY> customer id <NUMBER> learn link for <PRODUCT> training <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Account,['OSS LIVE QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below Direct customer live on OSS but as QUOTE ONLY Customer <NUMBER> Company <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>']
Account,['customer ID <NUMBER> <COMPANY> Morning all Please can you send me the learn log in details for the above customer Cheers <NAME> <NAME> <NUMBER> <EMAIL> ']
Account,['<COMPANY> customer id <NUMBER> <NAME> Can I please have the learn login code to OSS for <NAME> at <COMPANY> The customer id is <NUMBER> I am due to visit him for the third time tomorrow to run through OSS I suspect that he might have forgotten his login code since my last visit was in <DATE> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Information,['<COMPANY> OSS Query id <NUMBER> All I have just received a call from <COMPANY> who are trying to locate a project that was last amended on their OSS account in <DATE> this year The reference is possibly <NAME> <NAME> or <NUMBER> <ADDRESS> They cant remember the full details I have shown them how to search through their account history by clicking on the <COLOUR> circled areas as shown below but <COMPANY> are saying that their history is only showing projects going back as far as <DATE> this year They have been live on OSS for much longer Can you please advise <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Documents,['FW Is someone able to generate this for me please Project ID <NUMBER> <NAME>']
Leaver,['Leaver <NAME> <NAME> has left the business as of today <NAME> <NAME>']
Account,['FW OSS log in details All Can you please see the request below from <NAME> at <COMPANY> and provide a learn and live login code The customer id is <NUMBER> <NAME>']
Feedback,['FW <COMPANY> feedback id <NUMBER> All <NAME> from <COMPANY> has mentioned that she cant copy and send the glass sizes from the Origin quote document to her glass supplier because he doesnt accept decimal places She has asked why we provide glass sizes this way and also whether we can round the sizes down to the nearest <LENGTH> Can you please advise <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <EMAIL>']
Error,['no picture on order Please see attached there are no pictures on this order <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['<COMPANY> Im in Bristol today and will be wanting to train <NAME> on <PRODUCT> Could you please forward me an access code and provide the link <NAME>']
Information,['FW Info not updating Please review <NAME> observation <NAME> <NAME> <EMAIL> ']
Error,['<STYLE> Size Error <NAME> <NAME> Getting an error saying the sash must be less than <AREA> Glass density is set to <NUMBER> <NAME> ']
Pricing,['FW <ADDRESS> Please can you check the price on this order it does not seem to have the correct discount <NAME> <NAME> <EMAIL> ']
Template,['<COMPANY> Default settings ID <NUMBER> Please can you amend the default setting for <COMPANY> On the <COLOUR> colour coded under the <PRODUCT> <PRODUCT> section please make the hinges <COLOUR> and the panel glazing gasket <COLOUR> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['log in details can you please send me log in details for <COMPANY> ID <NUMBER> Cheers <NAME> <NAME> <NAME> <NAME> <EMAIL> ']
Documents,['project <NUMBER> Can you please generate documents for project <NUMBER> <NAME>']
Action,['Emergency Exit Compliant Just thought Id bring to your attention that one of our customers says OSS is wrong because we are working out our emergency exit sizes for our top hung <PRODUCT> the same as side hung Apparently top hung <PRODUCT> have different requirements']
Information,['Ref <NAME> <NAME> <NUMBER> <COMPANY> have called stating <PRODUCT> <NUMBER> \twill not allow a width change from <LENGTH> to <LENGTH> Would this be because the original quote was generated on <NUMBER> <NUMBER> <NUMBER> <NAME> <NAME> ']
Account,['FW Signed forms Please see sign off forms attached from <COMPANY> Can you please set up and send me the live logins <NAME> ']
Reminder,['US <PRODUCT> and <PRODUCT> Size Queries Morning I sent through a couple of emails on Friday afternoon querying the US <PRODUCT> and <PRODUCT> sizes on OSS Are you able to advise on these sizes today <NAME> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Admin,['<NAME> EA access Could you please give <NAME> the same access rights as <NAME> in EA for the logistics support He will need to be able to reschedule dates etc <EMAIL>']
Error,['Split Finish issue Team I am trying to do a split finish quote with <COLOUR> in and <COLOUR> out and keep getting an error message Can you please look into this for me <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> <NUMBER> <NUMBER>']
Action,['Business Manager amendments <NAME> is going to look after several customers and we have discovered her name is not correct Could someone amend her surname to show <NAME> <NAME> please <NAME>']
Pricing,['<NAME> difference Please can you have a look at these <NUMBER> orders They are exactly the same but it shows a price difference on easiadmin <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['FW OSS Login code <COMPANY> customer id <NUMBER> <NAME> Could I please have a live OSS login code for the email address below <EMAIL> <EMAIL> This is for <COMPANY> customer id <NUMBER> Could you also see their note below Im not sure what they mean by this so <NAME> have to give them a call if you cant see anything wrong with his login Also our CAD Technician OSS system seems to not updated properly please could you look into this <NAME> email is <EMAIL> <EMAIL> <NAME>']
Account,['FW Origin Sale Safe Training Dates <DATE> <NAME> at <TIME> All Can you please set up <COMPANY> to go live for quoting only Can you please also send me an OSS login code for the email address below <EMAIL> <EMAIL> The customer id is <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Account,['OSS Learn Login Details <COMPANY> <NUMBER> Please can I have the Learn login details for <NAME> at <COMPANY> please <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['<COMPANY> Could you please send me the log in details for <NAME> at <COMPANY> Cheers <NAME> ']
Forward,['FW online ordering problem All Can you please see the email below from <NAME> at <COMPANY> customer id <NUMBER> and advise <NAME>']
Account,['Login code for OSS <NAME> Can you please set up <COMPANY> customer id <NUMBER> with the <PRODUCT> tab on the learn platform <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Error,['<PRODUCT> Issues <NAME> As discussed please can you look into the below <PRODUCT> and see why OSS wont allow me to put it through <NAME> <NAME>']
Forward,['FW Customer id <NUMBER> <COMPANY> shortfall <NAME> Please see the below and the attached <NAME>']
Account,['<COMPANY> <NUMBER> Hope you had a lovely weekend Can you please email me the learner logins for <NAME> <NAME> from <COMPANY> <NUMBER> I am due to go through the OSS remote training with him this afternoon <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Admin,['<COMPANY> <NUMBER> I have just spoken to <NAME> from <COMPANY> he has been having issues on OSS regarding shipping addresses The address we have been sending to occasionally have been on <ADDRESS> I think The only two correct addresses for them are as follows Main delivery address for all goods <ADDRESS> Can whoever please amend addresses accordingly for shipping']
Account,['<NUMBER> <COMPANY> All Could I please have the login code to OSS learn for <COMPANY> The customer id is <NUMBER> <NAME>']
Error,['OSS issue Ive tried to create a project to order some frames on the <COMPANY> account but it came up with the below error before I managed to create a new project Ive tried different accounts but it comes up on all of them Please could you have a look into this <NAME> <NAME> <NAME> <EMAIL> ']
Information,['<PRODUCT> Slope Addons Issue Please can someone explain the reason why we cannot produce these <PRODUCT> including a <LENGTH> addon on the slopes OSS says I have to increase the upstands from <LENGTH> to <LENGTH> in order to allow the <LENGTH> addons However the customers argument is that even at <LENGTH> including a <LENGTH> addon the frame is still <LENGTH> and the minimum upstand is <LENGTH> If someone could please explain the reason for this I would be very grateful in advance <NAME> <NAME> I what you are saying but it needs to have the addons on is it because you have to cut frame height at <LENGTH> are you saying you cant do this Why Please call me on this issue this <NAME>']
Account,['Login details Hey Can someone please supply <NAME> at <COMPANY> his OSS login details as he is trying to login in regards to the screw recall His email is <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Account,['<COMPANY> <PRODUCT> <NUMBER> Can you please send me login details for quoting only live on OSS This is for <COMPANY> <PRODUCT> <NUMBER> Contact is <NAME> who looks after ordering <NAME> <NAME> PreSales Trade <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Error,['non stock ancillaries Oss is not saving handles trickle vents etc when they are non stock colours <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Admin,['Remove User <NAME> <NAME> Ticket <NUMBER> <COMPANY> Please take a looks at <NUMBER> <COMPANY> in advance Team I see that <NAME> <NAME> in on the email when a person opens an account and it is referred to accounts Can you please remove <NAME> she has left the company over a year and half ago This is on the EA system when you open an account and have a wonderful <TIME> <NAME> <NAME> Finance HR Coordinator']
Action,['Actual Delivery Date Formatting in EASI Can we please have the actual date revert back to US formatting <NUMBER> <NUMBER>']
Account,['Credentials Quote Only Try OSS <NUMBER> Could you provide Quote only credential for the below customer please <COMPANY> <NUMBER> <EMAIL> <EMAIL> <NAME>']
Template,['FW Origin Sale Safe OSS Live link All <NAME> from <COMPANY> customer id <NUMBER> has checked his default settings and has asked if he can have all fixing packs on all of his defaults set to none Can you please adjust this for him <NAME> ']
Logo,['logo Can you please add the attached logo to <COMPANY> OSS <COMPANY> <NUMBER> thanks']
Account,['Learn Login Details All Please can I have the Learn Login details for below <COMPANY> <PRODUCT> <NUMBER> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['FW OSS link <COMPANY> <NUMBER> Please see below from <NAME> Could you provide the live link quoting only for the below company please Company ID <NUMBER> <EMAIL> <EMAIL> Please forward the email to <EMAIL> <EMAIL> as she will send to the customer <NAME> <NAME> <NAME> <EMAIL> ']
Information,['<LENGTH> <STYLE> on the Learn platform All Please find below the <LENGTH> <PRODUCT> that I was able to add to the OSS learn platform The live platform is showing <LENGTH> and <LENGTH> options only which I believe is correct I have spoken to <NAME> and he says that we occasionally manufacture <LENGTH> <STYLE> <PRODUCT> as a special request for some customers but we dont manufacture them as a standard offering Could you please confirm this and remove the <LENGTH> option on the <STYLE> learn platform if necessary <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Template,['FW Origin Sale Safe default setting forms for <COMPANY> <NUMBER> All Can you please add the attached default settings to the <COMPANY> account <NUMBER> They are live for quoting on OSS <NAME> ']
Account,['<COMPANY> <NUMBER> Can you please send me login details for <COMPANY> <NUMBER> They said they have spoken to you before <NAME> but lost their login details <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Error,['FW OSS <NAME> I deleted the additional item in OSS and it disappeared However when I down loaded a doc the additional item was still on the quote <EMAIL>']
Account,['FW <COMPANY> Request to remove user from OSS <NAME> Can you please see the email below and delete <NAME> <NAME> user access to OSS The customer id is <NUMBER> <NAME>']
Error,['egress hinges on <STYLE> Can we not have egress hinges for <STYLE> Customer was trying to add them on separate projects but it came up with errors Please can you advise asap <NAME>']
Forward,['<PRODUCT> Handle Colors for Drop Down in OSS Here are the handle colors we are now offering for <PRODUCT> <NAME> <NAME> <EMAIL> ']
Account,['Urgent login code for <COMPANY> <NUMBER> All Can I please have a login code for OSS learn for the email address below <EMAIL> <EMAIL> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Reminder,['FW Meeting today <NAME> very much hope that this is now clear for <NAME> since he was waiting for us With best regards <NAME>']
Account,['<COMPANY> <NUMBER> Please find attached the sign off sheet for OSS training Please can I have the live login details for the customer as well <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Reminder,['FW OSS work sheets <NAME> This is a gentle reminder of what we spoke about yesterday Currently the OSS work sheets are still coming out with an extra <LENGTH> of Transoms and needs to be adjusted for manufacturing cutting list Example job number <NUMBER> Marketing showroom <PRODUCT> Transom lengths on work sheet are <NUMBER> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <NUMBER> In <COLOUR> is what they should be <EMAIL>']
Forward,['FW OSS Login Again <NAME> has just sent me this email below Any help <NAME>']
Account,['OSS Live link Quote only <NUMBER> Could you please send across the live link to <NAME> at <COMPANY> ID <NUMBER> Please note they would only like the system to be quote only <NAME> I have updated the tab on EA for training']
Account,['New Onboarding Customer Could you please provide me the login details for the customer below this is for QUOTE ONLY on OSS we will advise when this customer can have access to Live Ordering Customer <COMPANY> No <NUMBER> Contact Name <NAME> <NAME> Email Address <EMAIL> <EMAIL> <EMAIL>']
Report,['<NAME> Hamper Addresses all Would it be possible to pull a report off EA to get the full addresses for all the customers on the attached spreadsheet The vast majority of the are Premium Partners with only a few exceptions if that helps <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Information,['Project <NUMBER> On the attached project please can you check why the fixed frames cant be internally beaded This is how the customer requested them <NAME>']
Reminder,['FW <COMPANY> Any news on this colour']
Account,['<NUMBER> <COMPANY> OSS Accounts Are you able to create a new account on OSS for the above agent Email address is <EMAIL> <EMAIL> Can you please confirm what the password will be so I can let him know He has been using the <EMAIL> <EMAIL> account but this person is no longer employed with <COMPANY> Is it possible to delete this account Will this affect any of the project created under this name <NAME>']
Account,['Origin Frames Can you please send me login details for live quoting only for the below customer <COMPANY> <NUMBER> thanks <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <EMAIL> ']
Admin,['Orders on OSS pre <DATE> delivery OSS Could we please blank pre <DATE> delivery dates on OSS for new orders as the cut off was yesterday At the moment customers can still place the orders for delivery next week Please let me know if you have any questions <EMAIL>']
Report,['<PRODUCT> production print off the production progress report for factory All Please see the below report from <NAME> Is there anything you can assist with to help improve the speed of this report in advanced <NAME> Every <PRODUCT> production print off the production progress report for factory We cant do this the night before as its not updated so it has to happen <NUMBER> thing As an example of what happens every <TIME> is I opened Easi Admin at around <DATE> and followed the process to get production sheet Easi Admin then starts to download unable to use Easi Admin during this process It is now <DATE> and still have no Excel spreadsheet of progress report This is a daily occurrence Is there some way this process can be speeded up It never used to take this long From what we see nothing has changed apart from the speed of Easi Admin It is slow for all persons in <PRODUCT>']
Account,['FW <COMPANY> Pricing Can you please confirm the OSS login details for <COMPANY> <NUMBER> <NAME> has tried logging in using the below login details but has confirmed that these are not working as per the below email trail Username <EMAIL> <EMAIL> <NAME>']
Documents,['OSS Issue Team I have made several attempts to download my quote from OSS and still cannot It just keeps spinning and generating documents Easi quote <NUMBER> <NUMBER> Please help <EMAIL> <NUMBER> <NUMBER>']
Gables,['FW Origin <PRODUCT> training Sign Off Forms <COMPANY> <NUMBER> Can you please set up <COMPANY> customer id <NUMBER> as live with the <PRODUCT> tab please I will save the sign off form <NAME>']
Account,['FW <COMPANY> New User for OSS <NUMBER> All Can you please set up the email address below as live for ordering on OSS This is for account number <NUMBER> <EMAIL> <EMAIL> <NAME>']
Account,['OSS Credentials QUOTE ONLY <NUMBER> <COMPANY> Can you please set up the below DIRECT customer live on OSS but as QUOTE ONLY <NUMBER> <COMPANY> Once done can you please send over their credentials so I can forward over to the customer <EMAIL>']
Account,['Live OSS for <COMPANY> customer id <NUMBER> All Can you please set up <NAME> from <COMPANY> as live on OSS He doesnt require the <PRODUCT> tab The customer is id <NUMBER> I have his signoff form and will save it to the Gdrive later <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Account,['OSS Online Quoting System Can I please ask for Login details etc for the following company to have access to OSS QUOTE ONLY <COMPANY> <NUMBER> <NAME> <EMAIL>']
Account,['<NUMBER> <COMPANY> OSS Could you please supply the login details for QUOTE ONLY for the following customer ID <NUMBER> <COMPANY>']
Admin,['<COMPANY> IMPORTANT Can we please remove all fastener kits from OSS for <NAME> and if we can prevent it from ever possibly being added onto the order as well This needs to be completed with immediate effect <NAME> <NAME> <NUMBER> <EMAIL>']
Account,['<COMPANY> <NUMBER> Please can you reset the login details for <EMAIL> <EMAIL> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL>']
Account,['Training Codes for <COMPANY> <NUMBER> Please <NAME> I have the training login codes for <COMPANY> both for <NAME> and <NAME> <NAME> <NAME> <NUMBER> <EMAIL>']
Account,['FW Origin Sale Safe Sign Off Forms <NAME> Could you please set up <COMPANY> customer id <NUMBER> as live for ordering on OSS including the <PRODUCT> tab I will save the sign off form and update records <NAME>']
EqualGlass,['Equal glass sizes quote id <NUMBER> All I have had customer id <NUMBER> <COMPANY> on the phone asking why they cant process there <PRODUCT> with equal glass sizes they have <NUMBER> <PRODUCT> on their quote <NUMBER> that they have clicked they want equal glass sizes and then saved and when printing out its not changing it Could you please let me know if there is a reason why they cant have this please so I can get back to him as soon as possible as he wants to order this <NAME> <NAME> <EMAIL> ']
Account,['Login code for <COMPANY> customer id <NUMBER> <NAME> Can you please set up <COMPANY> customer id <NUMBER> with the <PRODUCT> tab on the learn platform <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL>']
Account,['<COMPANY> Portal Login Details Could you set up credential for the following company Quote only please Company <COMPANY>']
Pricing,['<PRODUCT> Costing Query Oss Support Can you please have a look at the attached quote and check the costing for <PRODUCT> <NUMBER> as it seems a bit too cheap compared to the others <NAME>']
